dim,fs,window,rmse,mape,smape,mae,nrmse,rules
3,50,0,0.55,0.033,0.017,0.045,0.001,5279
3,50,657,1.731,0.405,0.205,0.268,0.002,4674
3,50,1314,0.03,0.004,0.002,0.002,0.0,4364
3,50,1971,0.0,0.0,0.0,0.0,0.0,5091
3,50,2628,0.39,0.044,0.021,0.03,0.001,4752
3,50,3285,0.0,0.0,0.0,0.0,0.0,5046
3,50,3942,0.103,0.04,0.02,0.019,0.0,5009
3,50,4599,0.065,0.01,0.005,0.006,0.0,5327
3,50,5256,0.272,0.033,0.017,0.03,0.001,5218
3,50,5913,0.634,0.505,0.181,11.581,0.001,5390
3,50,6570,0.25,0.096,0.048,0.049,0.0,5609
3,50,7227,0.013,0.002,0.001,0.001,0.0,5217
3,50,7884,1.385,0.216,0.092,0.108,0.002,5182
3,50,8541,0.129,0.027,0.014,0.016,0.0,5044
3,50,9198,0.065,0.012,0.006,0.007,0.0,4969
3,50,9855,0.123,0.024,0.012,0.013,0.001,5348
3,50,10512,0.077,0.019,0.01,0.01,0.0,4916
3,50,11169,0.027,0.003,0.001,0.002,0.0,5650
3,50,11826,0.167,0.027,0.014,0.019,0.0,4395
3,50,12483,0.257,0.056,0.028,0.036,0.001,5301
3,50,13140,0.096,0.016,0.008,0.012,0.0,5035
3,50,13797,0.689,0.236,0.118,0.123,0.001,5049
3,50,14454,0.168,0.027,0.013,0.018,0.002,5112
3,50,15111,0.001,0.0,0.0,4.147,0.0,5499
3,50,15768,0.523,0.189,0.093,0.107,0.001,4823
3,50,16425,0.157,0.032,0.016,0.018,0.0,4734
3,50,17082,0.0,0.0,0.0,11.608,0.0,4679
3,50,17739,2.042,0.988,0.442,0.478,0.006,4471
3,50,18396,0.292,0.106,0.053,0.066,0.001,4970
3,50,19053,0.202,0.068,0.034,0.039,0.0,4128
4,10,0,3.791,2.522,1.13,1.264,0.008,3457
4,10,657,17.843,18.953,6.464,8.301,0.022,3272
4,10,1314,3.154,1.198,0.536,0.863,0.004,2425
4,10,1971,0.47,0.381,0.179,0.094,0.005,2704
4,10,2628,7.053,2.526,1.1,1.94,0.012,2968
4,10,3285,5.083,2.151,1.089,2.081,0.012,3315
4,10,3942,6.425,6.561,2.792,3.193,0.009,3292
4,10,4599,90.292,47.29,6.321,23.902,0.135,3385
4,10,5256,16.449,12.471,4.66,6.324,0.034,3384
4,10,5913,5.876,1.698,0.745,13.022,0.008,3626
4,10,6570,11.991,6.059,2.285,3.319,0.022,3926
4,10,7227,11.025,9.622,3.515,3.942,0.019,3087
4,10,7884,3.813,1.919,0.86,1.059,0.006,3271
4,10,8541,3.767,0.92,0.483,0.669,0.005,2995
4,10,9198,6.518,4.242,1.866,2.372,0.01,3463
4,10,9855,4.392,1.818,0.865,1.26,0.023,3208
4,10,10512,5.697,5.674,2.566,3.039,0.009,3385
4,10,11169,5.35,4.918,2.828,2.347,0.089,3058
4,10,11826,15.609,5.229,2.031,3.609,0.035,3024
4,10,12483,12.526,6.039,2.941,4.566,0.036,3339
4,10,13140,6.453,2.634,1.154,2.349,0.008,3062
4,10,13797,3.063,0.944,0.452,0.856,0.006,3219
4,10,14454,25.356,11.519,3.697,7.384,0.282,3210
4,10,15111,1.238,0.574,0.292,4.528,0.002,3177
4,10,15768,7.285,5.675,2.468,3.274,0.017,2814
4,10,16425,2.091,0.799,0.406,0.486,0.006,3414
4,10,17082,8.549,1.561,0.778,14.16,0.014,2660
4,10,17739,7.277,7.268,3.039,3.467,0.02,2694
4,10,18396,11.262,8.55,3.785,7.159,0.025,2799
4,10,19053,3.828,1.588,0.749,1.178,0.005,2511
4,20,0,0.274,0.103,0.052,0.051,0.001,6995
4,20,657,5.422,2.353,1.146,1.236,0.007,6818
4,20,1314,0.738,0.174,0.091,0.109,0.001,5317
4,20,1971,0.0,0.0,0.0,0.0,0.0,6404
4,20,2628,0.131,0.011,0.006,0.01,0.0,6477
4,20,3285,1.811,0.408,0.189,0.227,0.004,6340
4,20,3942,0.892,0.526,0.256,0.227,0.001,6830
4,20,4599,12.329,3.665,1.051,1.867,0.018,6853
4,20,5256,4.299,1.901,0.829,1.09,0.009,7250
4,20,5913,1.557,0.545,0.201,11.732,0.002,7590
4,20,6570,0.453,0.207,0.102,0.096,0.001,7803
4,20,7227,0.949,0.393,0.189,0.188,0.002,6663
4,20,7884,0.345,0.054,0.026,0.027,0.001,6683
4,20,8541,0.438,0.035,0.018,0.037,0.001,6587
4,20,9198,0.216,0.043,0.021,0.032,0.0,6604
4,20,9855,0.64,0.299,0.146,0.137,0.003,7045
4,20,10512,1.041,0.476,0.238,0.252,0.002,6718
4,20,11169,0.846,0.325,0.153,0.139,0.014,6807
4,20,11826,0.482,0.159,0.079,0.075,0.001,6213
4,20,12483,1.424,0.353,0.172,0.248,0.004,6733
4,20,13140,1.823,0.404,0.189,0.268,0.002,6651
4,20,13797,0.112,0.011,0.005,0.009,0.0,6324
4,20,14454,2.595,0.502,0.215,0.325,0.029,6590
4,20,15111,0.142,0.038,0.019,4.167,0.0,6434
4,20,15768,0.34,0.073,0.037,0.053,0.001,5934
4,20,16425,0.102,0.022,0.011,0.014,0.0,6832
4,20,17082,0.844,0.057,0.028,11.716,0.001,5698
4,20,17739,1.934,1.24,0.577,0.587,0.005,5642
4,20,18396,2.331,0.79,0.37,0.525,0.005,6172
4,20,19053,0.327,0.039,0.02,0.027,0.0,5548
4,30,0,0.087,0.028,0.014,0.014,0.0,9295
4,30,657,3.667,0.566,0.264,0.461,0.005,9200
4,30,1314,0.463,0.072,0.038,0.044,0.001,7906
4,30,1971,0.0,0.0,0.0,0.0,0.0,8392
4,30,2628,0.0,0.0,0.0,0.0,0.0,8883
4,30,3285,0.261,0.011,0.006,0.02,0.001,8590
4,30,3942,0.133,0.022,0.011,0.011,0.0,9266
4,30,4599,2.296,0.372,0.146,0.19,0.003,8799
4,30,5256,0.654,0.07,0.036,0.076,0.001,9414
4,30,5913,0.877,0.506,0.182,11.62,0.001,9712
4,30,6570,0.941,0.25,0.117,0.125,0.002,9806
4,30,7227,0.021,0.007,0.003,0.003,0.0,9235
4,30,7884,0.448,0.07,0.033,0.035,0.001,9138
4,30,8541,0.035,0.002,0.001,0.003,0.0,9058
4,30,9198,0.087,0.009,0.004,0.007,0.0,8679
4,30,9855,0.246,0.059,0.029,0.033,0.001,9147
4,30,10512,0.079,0.022,0.011,0.013,0.0,8905
4,30,11169,0.124,0.024,0.012,0.01,0.002,9833
4,30,11826,0.098,0.033,0.016,0.013,0.0,8381
4,30,12483,0.687,0.122,0.059,0.083,0.002,8728
4,30,13140,0.023,0.004,0.002,0.002,0.0,9241
4,30,13797,0.0,0.0,0.0,0.0,0.0,8584
4,30,14454,0.0,0.0,0.0,0.0,0.0,9045
4,30,15111,0.001,0.0,0.0,4.147,0.0,8654
4,30,15768,0.144,0.014,0.007,0.012,0.0,7932
4,30,16425,0.028,0.006,0.003,0.004,0.0,8577
4,30,17082,0.0,0.0,0.0,11.608,0.0,8491
4,30,17739,0.811,0.46,0.211,0.174,0.002,7584
4,30,18396,0.132,0.038,0.019,0.024,0.0,8422
4,30,19053,0.122,0.019,0.009,0.01,0.0,7954
4,40,0,0.02,0.003,0.002,0.002,0.0,10839
4,40,657,1.387,0.293,0.132,0.177,0.002,10473
4,40,1314,0.0,0.0,0.0,0.0,0.0,9440
4,40,1971,0.0,0.0,0.0,0.0,0.0,10532
4,40,2628,0.0,0.0,0.0,0.0,0.0,10078
4,40,3285,0.0,0.0,0.0,0.0,0.0,10094
4,40,3942,0.0,0.0,0.0,0.0,0.0,10670
4,40,4599,0.0,0.0,0.0,0.0,0.0,10672
4,40,5256,0.072,0.007,0.003,0.007,0.0,10931
4,40,5913,0.682,0.501,0.179,11.592,0.001,11760
4,40,6570,0.249,0.083,0.041,0.041,0.0,11456
4,40,7227,0.0,0.0,0.0,0.0,0.0,10669
